2017 01 18,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",430,"237,79 €","2,00 €","254,33 €"
2017 01 18,JSC Olainfarm (ISIN LV0000100501),20,"171,80 €","0,00 €","166,62 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),165,"1.427,25 €","3,29 €","1.379,09 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),50,"432,50 €","1,08 €","421,05 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),5,"43,25 €","0,11 €","42,11 €"
2017 01 19,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",5,"4,61 €","2,00 €","4,76 €"
2017 01 19,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",25,"13,75 €","0,00 €","14,79 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",18,"19,98 €","0,05 €","20,72 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",252,"279,72 €","0,70 €","290,13 €"
2017 01 19,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","2,00 €","118,29 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",30,"33,30 €","0,08 €","34,54 €"
2017 01 20,Silvano Fashion Group (ISIN EE3100001751),95,"283,10 €","0,70 €","260,30 €"
2017 01 20,Silvano Fashion Group (ISIN EE3100001751),370,"1.102,60 €","2,76 €","1.013,80 €"
2017 01 23,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",213,"236,43 €","0,59 €","245,23 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,00 €","118,29 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,28 €","118,90 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,00 €","118,90 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",900,"495,00 €","0,38 €","535,03 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",207,"113,85 €","0,00 €","122,73 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"551,00 €","2,00 €","570,43 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",932,"512,60 €","0,66 €","522,87 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",568,"312,40 €","0,78 €","317,73 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"553,00 €","1,38 €","556,76 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1070,"591,71 €","1,48 €","590,80 €"
2017 01 24,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",53,"48,81 €","0,00 €","50,35 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",868,"477,40 €","1,19 €","497,66 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,28 €","114,08 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",500,"276,50 €","0,00 €","285,21 €"
2017 01 24,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",500,"276,50 €","0,67 €","285,21 €"
2017 01 25,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",20,"18,42 €","0,00 €","18,78 €"
2017 01 26,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1317,"733,57 €","0,11 €","727,47 €"
2017 01 26,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",190,"174,99 €","0,00 €","178,41 €"
2017 01 26,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",10,"9,21 €","0,00 €","9,39 €"
2017 01 26,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"111,80 €","2,00 €","110,47 €"
2017 02 01,JSC Olainfarm (ISIN LV0000100501),70,"640,50 €","1,60 €","610,30 €"
2017 02 01,JSC Olainfarm (ISIN LV0000100501),160,"1.465,60 €","3,66 €","1.396,23 €"
2017 02 01,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",10,"9,19 €","2,00 €","9,39 €"
2017 02 01,JSC Olainfarm (ISIN LV0000100501),22,"201,30 €","0,51 €","191,81 €"
2017 02 01,JSC Olainfarm (ISIN LV0000100501),50,"457,50 €","1,15 €","435,93 €"
2017 02 01,JSC Olainfarm (ISIN LV0000100501),50,"457,50 €","1,14 €","435,93 €"
2017 02 02,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",1830,"1.681,77 €","2,62 €","1.727,88 €"
2017 02 02,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",170,"156,23 €","0,00 €","159,80 €"
2017 02 02,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",15,"13,79 €","0,03 €","14,35 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),29,"268,54 €","0,68 €","276,13 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),71,"657,46 €","1,64 €","671,20 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),54,"500,04 €","2,00 €","538,64 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),26,"240,76 €","0,60 €","250,49 €"
2017 02 03,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",9,"8,27 €","0,02 €","8,61 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),74,"685,24 €","1,71 €","712,92 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),10,"92,60 €","0,23 €","96,34 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),68,"629,68 €","1,58 €","658,44 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),48,"443,52 €","2,00 €","463,80 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),52,"480,48 €","0,31 €","500,97 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),13,"120,38 €","0,30 €","125,24 €"
2017 02 03,JSC Grindeks (ISIN LV0000100659),28,"131,32 €","2,00 €","131,65 €"
2017 02 03,AS LHV Group (ISIN EE3100073644),39,"361,14 €","0,15 €","389,02 €"
2017 02 06,AS LHV Group (ISIN EE3100073644),6,"55,56 €","0,14 €","56,72 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),5,"23,45 €","0,06 €","22,86 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),247,"1.158,43 €","2,89 €","1.127,09 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),190,"891,10 €","2,23 €","873,99 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),135,"633,15 €","1,59 €","627,24 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),45,"211,05 €","0,52 €","209,09 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),150,"703,50 €","1,76 €","703,00 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),195,"914,55 €","2,29 €","917,28 €"
2017 02 06,JSC Grindeks (ISIN LV0000100659),205,"961,45 €","0,73 €","963,86 €"
2017 02 06,JSC Olainfarm (ISIN LV0000100501),110,"995,50 €","2,49 €","959,26 €"
2017 02 06,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",150,"137,85 €","0,34 €","141,53 €"
2017 02 06,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",296,"272,02 €","0,68 €","280,13 €"
2017 02 06,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",20,"18,38 €","0,05 €","19,13 €"
2017 02 07,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",78,"71,84 €","0,00 €","73,59 €"
2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",300,"277,20 €","0,69 €","281,36 €"
2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",271,"250,40 €","0,63 €","253,52 €"
2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",200,"184,20 €","0,00 €","188,71 €"
2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",900,"831,60 €","0,15 €","846,18 €"
