2018-01-09,Harju Elekter (ISIN EE3100004250),30,"159,60 €","2,00 €","152,18 €"
2018-01-09,Harju Elekter (ISIN EE3100004250),105,"558,60 €","0,13 €","532,63 €"
2018-01-09,"AB ,,AUGA group"" PVA (ISIN LT0000127466)",1045,"663,58 €","0,02 €","640,55 €"
2018-01-09,"AB ,,AUGA group"" PVA (ISIN LT0000127466)",225,"142,88 €","2,00 €","122,03 €"
2018-01-09,JSC SAF Tehnika (ISIN LV0000101129),18,"121,50 €","0,00 €","113,40 €"
2018-01-09,JSC Grindeks (ISIN LV0000100659),10,"74,40 €","2,00 €","68,27 €"
2018-01-09,JSC Grindeks (ISIN LV0000100659),105,"781,20 €","0,14 €","714,13 €"
2018-01-09,Harju Elekter (ISIN EE3100004250),160,"851,20 €","2,13 €","811,62 €"
2018-01-09,JSC Grindeks (ISIN LV0000100659),6,"44,64 €","0,11 €","40,60 €"
2018-01-09,JSC Grindeks (ISIN LV0000100659),127,"944,88 €","2,36 €","859,40 €"
2018-01-10,JSC Rigas kugu buvetava (ISIN LV0000100378),100,"27,80 €","2,00 €","30,60 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),190,"1.041,20 €","2,60 €","963,80 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),180,"986,40 €","2,47 €","914,48 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),10,"54,80 €","0,13 €","52,13 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),90,"493,20 €","2,00 €","469,21 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),120,"657,60 €","0,88 €","636,79 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),70,"383,60 €","0,96 €","374,73 €"
2018-01-10,Harju Elekter (ISIN EE3100004250),120,"657,60 €","2,00 €","642,40 €"
2018-01-10,JSC Latvijas Gaze (ISIN LV0000100899),40,"412,00 €","2,00 €","429,07 €"
2018-01-10,JSC Olainfarm (ISIN LV0000100501),36,"306,00 €","2,00 €","307,49 €"
2018-01-10,JSC Olainfarm (ISIN LV0000100501),214,"1.819,00 €","3,31 €","1.835,14 €"
2018-01-10,JSC Olainfarm (ISIN LV0000100501),250,"2.125,00 €","5,31 €","2.149,69 €"
2018-01-10,JSC Olainfarm (ISIN LV0000100501),176,"1.496,00 €","3,74 €","1.423,19 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),120,"657,60 €","2,00 €","642,40 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),30,"164,40 €","0,06 €","160,60 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),44,"241,12 €","2,00 €","235,54 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),106,"580,88 €","0,06 €","567,46 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),100,"546,00 €","2,00 €","535,34 €"
2018-01-11,Harju Elekter (ISIN EE3100004250),60,"327,60 €","0,18 €","321,20 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),28,"288,40 €","2,00 €","284,80 €"
